input_text,vibe_label,,,,
"Categories: Food, Restaurants, Delis, Event Planning & Services, Caterers, Sandwiches | Review: Love the De La Guerra. Always the perfect amount of guac and cheese. Sandwiches take a tad longer than I would hope to be brought out, put at least you can munch on some pickles or peppers while you wait. 

Haven't had a bad thing on the menu yet. My friend loved their Reuben if you're into that.",casual_hangout,,,,
"Categories: Salad, Restaurants, Pizza, Sandwiches, Italian | Review: This review is completely about the service because the food is actually 5 stars. I have been here a few times, and every time we encountered rude people. Today for example the man that took our food to our table was extremely rude, when he asked us if we needed anything else and we said we need napkins and a fork he rolled his eyes and leaves gets the stuff comes back and basically slams it on the table and asks us in such a rude way ""is there anything else you need??"" 
Last time we just got our food to go because again we had a rude woman helping us. 
Again the food is amazing but they need to train their employees better or get new ones that actually like their jobs.",casual_hangout,,,,
"Categories: Restaurants, Japanese, Sushi Bars | Review: Since COVID, we've been unable to get UNI sushi at our go too restaurants in Santa Clarita. This past weekend, we were in Santa Barbara for our anniverary and Sushi was decided as our special dinner, choosing a place that had it currently available and serving it. Local, Santa Barbara UNI is unparalleled.
Sun Sushi is off the beaten path of Santa Barbara, being 3 miles away from downtown--but this is a great thing! We were able to get a reservation on the day before at a time we wanted. Upon our arrival, the restaurant was busy but without a wait. By the time we left, every table and seat was taken at the sushi bar.
Max and his partner in business were our Sushi chefs. Both were personable as was their service staff and genuinely engaged in our experience. If there is one take away for someone reading my verbose review, let is be that THIS IS THE FRESHEST FISH WE'VE EVER HAD at a Sushi Restaurant, anywhere, including that famous chain in LA Live and in NYC.
The UNI was spectacular AND the freshest Spanish Mackerel and Red Snapper I've ever had.
We cannot say enough about an awesome experience other than that it was unfortunate that our son and sushi buddy was not there to enjoy it with us, however, a return visit is emminent so that we can enjoy it once again, with our son, too.
Tell Max Rob and Christine sent ya!",late_night,,,,
"Categories: Mexican, Restaurants | Review: I absolutely love Mexican Fresh. My favorite Mexican food in town. Extremely fresh, reasonably priced, and the guys who work there are great! Love this place - be sure to check it out.",casual_hangout,,,,
"Categories: Thai, Vegetarian, Noodles, Restaurants, Asian Fusion | Review: Food is good enough, not blow your mind amazing. Decor is weird for a Thai place, really Americanized. This is a white wash Thai place and you can taste it. The waiter however, was really nice--- thank you Cody. He had to leave before closing our table and the next waiter that finished for him was terrible. 3 stars for the restaurant but +1 for Cody.",casual_hangout,,,,
"Categories: Barbeque, American (Traditional), Cuban, Restaurants | Review: So, I heard of this place through one of my good friends and he recommended this place.  I then begin ordering a pretty large order 4 adults/2 kids.  I'm on hold for 5 minutes then hang up to call back, on hold for another 5 minutes.  I finally get through.  I begin placing my order (which I repeated 3 times) and get a reasonable wait time (30-45) delivery.  I order all large sizes of damn near everything.  2 Caesar salads, southwestern corn, 2 full orders of chicken wings , mustardy potatoes, humus, and 2 orders of Mac and cheese.   I receive 1 Caesar salad with no dressing, (missing the other Caesar) no Mac and cheese, chicken wings with 1 ranch and 2 wing sauces when I asked for a whole lot more than that.  I asked for pita bread for the humus but they said it comes with a lot of the food I was ordering, it cane with 4 tiny pieces for a huge amount of humus.  I called back to fix it, and they came back with the extra Caesar, still no dressing for both now.  No pita bread, no Mac and cheese.  (They didn't put it on the initial order and I received none even after having to repeat my entire order 3 times) and 1 extra ranch for all the wings (24+)
The food was good though, not gonna lie.  I reached out to them again through the company site and no response.   I wanted to give them a chance to fix/respond to there mistakes.  This whole deal took at least 2 hours with 2 hungry toddlers that pushed there bed time back.  If I do ever decide to order from them again, it will be an order for PICK UP, NOT DELIVERY.  Just thought ya'll should know.

The owner contacted me and is gonna make things right.  Most companies don't.  Thank you Paul Freeman!  I'll try you guys out again very soon",late_night,,,,
"Categories: Mexican, Restaurants | Review: I used to come here for many years and just recently returned. It is one of the very few good sit-down Mexican spots in town that doesn't require a wait. The burritos in particular are large and delicious. They also have a comprehensive menu with fajitas, shrimp dishes, and more. 

The service is excellent and it's a great place for families, as they have a nice kids menu and a friendly vibe. I also appreciate the location in the back of a quiet shopping center.

My only criticisms are that their ranch dressing is not good - tastes suspiciously like hidden valley ranch from a large Costco bottle - and that they serve their plates at roughly 2 million degrees. Seriously, warm them if you must, but nobody needs a plate that hot. I don't get it. If they changed it, I'd definitely give them my 5th star.",study_spot,,,,
"Categories: Caribbean, Restaurants, Gluten-Free, Cajun/Creole, Vegan | Review: Good starter restaurant. Invited mycoworker and her husband for dinner not knowing or expecting anything. Turned out what we ordered was very good. We ordered fried plantations to start. I the catfish and cocnut grits, myfriends ordered Ethiopian chicken stew and. Crab and fish gumbo. All dishes were tasty well portioned. The menu is moderately prices. An application for an alcohol license was in process during our visit but a short walk to the CVS yielded 2 bottles of red.  If this is what a restaurant does off the bat then may succeed and hope they do. Go different and try Caribbean.",group_friendly,,,,
"Categories: Mexican, Restaurants | Review: Great food- very nice salsa bar with unique choices (not your typical salsas at all!). Very delicious food. Had a torta & seafood burrito- both were fabulous!",late_night,,,,
"Categories: American (New), Steakhouses, Tacos, Mexican, Seafood, Restaurants | Review: Terrific food, thoughtfully prepared, in an attractive and welcoming setting. Modest, but interesting and reasonably priced, wine (and beer) list. Truly excellent service. Highly recommended.",late_night,,,,
"Categories: Soup, Thai, Restaurants, Noodles | Review: I am a huge lover of Thai food, or anything Asian for that matter. Naturally my freshman year I set out to find a good Thai place and wandered in here with a friend and loved it. It has been four years and many other Thai places in SB and this is still my favorite. Their Tom Ka Gai soup in unparalleled by any other and their chicken satay and yellow chicken curry are excellent as well. The service is great and I like the atmosphere.",casual_hangout,,,,
"Categories: Seafood, American (Traditional), Burgers, Bars, Nightlife, Restaurants, Cafes, Sports Bars | Review: In my opinion preferable to Brophy Bros. No complaints from me! Drinks are fantastic, food is good and service is great! Live music, the harbor, indoor/outdoor seating, just a few of the things making this the perfect destination for a chill but fun dinner out. 
ADDED BONUS I just found out this restaurant will be one of the few to pioneer the way to no straws and eliminating one use plastic waste. Take the time, look into the cause and statistics of plastic straw use. It is such a small sacrifice for such a huge impact. 
Help make our oceans a cleaner healthier place.",study_spot,,,,
"Categories: Desserts, Food, Restaurants, Breakfast & Brunch, French | Review: Bottom line: they served me raw croissants twice. Once after I sent back the first one because though it appeared done on the outside, the center was RAW dough. Oh, and my crêpe was cold. And my coffee. All in all, the French Brunch special was a complete and utter disappointment. Beyond being unappetizing and inedible, the croissant snafu indicates that the chef doesn't know how to prepare the foods on his own menu. Also, they didn't offer to take them off the bill. Totally weird experience.",family_friendly,,,,
"Categories: Seafood, Cajun/Creole, American (New), Restaurants | Review: I would've given it a 5 star if their servings looked as big as the pictures, especially for the popcorn crawfish. But anyway..
Ambience: 5/5
Service: 5/5
Flavor: 4/5, it could use some more soul and love
Would come again?: YESYESYES! I'm willing to give it another go, maybe their other dishes will be better!",casual_hangout,,,,
"Categories: Restaurants, Delis, Food, Specialty Food, Grocery, Sandwiches | Review: The cheesecake is phenomenal. The macaron is impeccable. Waiting on the sandwiches but I'm sure there just as delicious. Just got the sandwiches. Yum! $21 for 2 sparkling waters, A chicken pesto sandwich add Brie, a cheesecake and macaroon. The service
Is amazing. Thank you!",casual_hangout,,,,
"Categories: Restaurants, American (New), Delis, Breakfast & Brunch, Tapas/Small Plates, Cafes | Review: We were there for their very first night of dinner service. People didn't know they were open for dinner so it was not crowded, but they had a full complement of staff.
Their staff is friendly and attentive and we swapped good hiking locations.
I had the Roasted Organic Chicken with harvest risoni, (like rissoto meets rice-a-roni in  a good way), and green olive salsa verde. The chicken was tender and delicious, but an enormous portion. Even with Chinese style sharing with my table mates I still took home a doggie box.
The menu looked delicious and I wanted to try lots of dishes, but alas my seat mates all ordered the braised short ribs, roasted carrots,soft polenta, arugula and truffled pecorino dish. The meat was packed with flavors and fall off the bone tender. I loved the polenta, carrots and all.
Nice desserts too. We were helpless to resist the flourless chocolate cake with whipped cream, not too sweet to counterpoint the sinful cake.
I liked the ambient lighting, the soft warm faux walls and high old world ceilings. I'll go again.",study_spot,,,,
"Categories: Nightlife, Cocktail Bars, American (New), Bars, Restaurants | Review: In a nutshell: great cocktails, adventurous  and fun menu. Our ""go-to"" place with out-of-town guests.",late_night,,,,
"Categories: American (New), Pizza, Pubs, Nightlife, Bars, Restaurants, American (Traditional), Breakfast & Brunch, Beer Bar | Review: Great vibe with excellent staff. I came here based on some of the reviews and had my mind made up on what to order before I showed up. I decided to have a light dinner of appetizers and beer; and I ended up leaving pretty full and happy without breaking the bank.

I'd definitely recommend the Brussels sprouts; they're cooked with onions and bacon for an amazing flavor. Even though the wings were tasty, I'd skip them next time because I'd question the birds they got them from due to the size and the ranch dressing seemed thinned out. Don't get me wrong; they were good, just not the best deal on the menu.",late_night,,,,
"Categories: Seafood, Venues & Event Spaces, Cocktail Bars, Restaurants, Nightlife, Breakfast & Brunch, American (Traditional), Event Planning & Services, Bars, American (New) | Review: I came here solo for lunch around 1:00. I was seated immediately in the bar area downstairs. A man took my drink order right away. He also noticed my table was a little wobbly so he brought a wedge right over and fixed it. My server came by within minutes as well. I had the fish tacos with crispy cod. OMG it was delicious. The tortilla chips and black beans it came with were also superb. They also being 3 different bottled sauces. Since I'm a wimp I had the verde sauce on the tacos and used it for a dip. It was sooo good. Perfect place for lunch and the service was top notch!",late_night,,,,
"Categories: Restaurants, Mexican | Review: Always the best food! I wish I would be more adventurous but I always just get some variation of the nachos and they are spectacular!",casual_hangout,,,,
"Categories: Lounges, Nightlife, Restaurants, Bars, Seafood, American (Traditional), Soup | Review: Came here for happy hour with my coworkers - one of the best happy hours in town. $5 appetizers, $4.50 margaritas... I'm down.

Happy hour runs from 4-8! Great place to come after work, but be warned that it is VERY crowded. My coworker got there an hour early to reserve seats and he still got bumped out by several groups of people. We got up for no more than 60 seconds to scope out other tables and lost our seats, so guard your table(s) with your LIFE! :-)

I tried the popcorn shrimp and shrimp quesadilla. Nothing mouthwatering, but not bad either. I liked that the quesadilla came with the guacamole and sour cream on the side since I like my quesadillas plain jane.

Service was great, too - our waitress was pretty on top of things. Asked me for my order the minute I walked through the door! Very attentive. We did have to flag her down for the check, but she was gracious enough to make separate checks for the people who had to leave early. She is also a doppleganger for an Olympic swimmer, so that was cool.

My favorite part of the experience was the giant aquarium near the front door. I love watching fishies!",late_night,,,,
"Categories: Restaurants, Indian, Himalayan/Nepalese | Review: Walked by this place and decided to give it a shot!  It didn't disappoint any one of us.  My son cannot handle spicy food, so this place was perfect for him as you can order your food with the level of spiciness from 1 to 10.  We ordered mango lassi, lamb and chicken momos, and non vegetarian Thali, which came with a meat curry of your choice(chicken, lamb, or goat), naan, rice, daal, and paneer, and rice pudding at dessert.  Everything was simply delicious.  The naan was particularly memorable, as I've never had such yummy naan before.  It came straight from the oven, crispy on the outside, and soft on the inside.  The price may seem like they r on the higher side, but the portions are just huge!  

They do have indoor and outdoor dining.  All tables were spaced out 6 ft apart.  The server was very helpful.  If we ever visit again, we are coming back to this place!",casual_hangout,,,,
"Categories: Mexican, Restaurants, Seafood | Review: This place can be a hit and a miss.
The happy hour is really good I can't complain. My favorite drink is the Paloma. It's a Margarita with grape fruit! OMG to die for!! Happy Hour all day Sunday is great!!!
The service and the food is where i only give this a 3 star. Service is only ok when sitting at the bar. There is a awesome bartender named Dominic so hope you get him!  The food is ehhhh.....not that great but not that bad. In the middle. I would go there for the happy hour and drinks :)",late_night,,,,
"Categories: Mexican, Restaurants | Review: Food Poisoning. Never again will I return. Tried to like this place after a few visits, but then a week ago I got horrible food poisoning (it was the only thing I had eaten that day) Also, the staff is very standoffish and comes across as rude. I waited over half an hour for a stinkin' BRC burrito one time! Really?!",casual_hangout,,,,
"Categories: Mexican, Restaurants | Review: Get the salsa aguacate! Medium heat with avocado blended in, my favorite! Taco Tuesday is a good deal but I usually go for sharing a Chile relleno burrito with someone whenever possible. They have a delicious salad dressing and side salad option if you're not a big rice and beans fan. Delicious thin and crispy chips and salsa bar.",late_night,,,,
"Categories: Delis, Gluten-Free, Fast Food, Salad, Sandwiches, Restaurants | Review: Nice little deli near shopping district.  Seating inside or outside but limited.  Had a Pickles and Swiss Sandwich.  Wife had Veggie Sandwich.  Great!",casual_hangout,,,,
"Categories: Korean, Restaurants, American (New), Mexican, Tacos, Nightlife, Fast Food, Bars | Review: Our favorite Santa Barbara tacos. We love the triple play-three tacos of your choice for $9. We love the fish taco, bahn mi and crispy taco combination. 

The ahi taco is out of this world too. Tough taco decisions, but so good!

The people taking the orders are quite  unfriendly, but thankfully you don't have to deal with them much.",late_night,,,,
"Categories: Coffee & Tea, Restaurants, Cafes, Food, Acai Bowls, Juice Bars & Smoothies | Review: This place is amazing!! Might be considered a little pricey, but you pay for quality. Plus if you love açaí toppings, totally worth it. You get to pick a size açaí bowl or smoothie and then you get unlimited toppings. The best part is they layer the toppings in a tall container instead of a wide bowl, so you keep getting new delicious toppings as you make your way through the bowl. I love açaí bowls, but I'm usually stuck with half of the açaí left and no toppings at other restaurants. At this one, I had peanut butter and Cocoa nibs in every bite. The açaí was the perfect amount of sweet and wasn't icy. The employees were all very nice and helpful. They explained their menu and answered our questions since it was our first time. There are plenty of tables to sit at outside and we got free parking at a public lot a block away. I will definitely come back here next time I'm in Santa Barbra",study_spot,,,,
"Categories: Sandwiches, Wraps, Kebab, German, Restaurants | Review: First time I came here, my husband and I had a wonderful experience. The two gentleman in the back were on top of proving customer service and explained to us how we order. I like how we can choose our meat, sauces and veggies and things we didn't want. When we got our food, it was delicious and were so full that we had a hard time eating our fries. 
I had recently ordered the second time, but through SB menus and the taste and quality were still the same.",casual_hangout,,,,
"Categories: Modern European, Nightlife, Bars, Restaurants, Bakeries, Wine Bars, Food, Scandinavian, Breakfast & Brunch | Review: This review is only for their princess cake. Such a disappointment for a $12 slice of cake. I love princess cake and always look for a good one. I was so excited to see this bakery but what a disappointment. Don't waste your $12. Sad.",late_night,,,,
"Categories: Tapas/Small Plates, Desserts, Restaurants, Breakfast & Brunch, Food, Seafood | Review: Well we were disappointed. My fish was ok. Not the grand experience we had our first time. My wife's seafood pasta was ok. The appetizers were not anything to write about. I would say it was rather 'blah' of an experience.",date_night,,,,
"Categories: Restaurants, American (New) | Review: Food is a four but parking is a one
Sam's Goleta totals out to a three. Unless you can walk then it's a five since you'll burn off the yummy sandwich on the way back to the office.

Very friendly family serving up great sandwiches made to order. I lean toward a medium #11with cotto salami, mortadella, genoa, capicola and provolone. 

Service with a big smile while the TV is usually on soccer 
On a business lunch, enjoy a very limited selection of beer in the bottle.
Parking in the back is limited and full at lunch. I usually double park and run in. 

My advice is to get Sam's To Go and roll to the beach. Relax with your good food and enjoy life. You deserve it.",late_night,,,,
"Categories: Wine Bars, Bars, Beer Bar, Nightlife | Review: I was so sad that they were not serving frozé! :( I saw all the Yelp pictures and drove out a little further just to have one! I'm sad there was no therapy for me! :/ 
Lol so even though we weren't hungry, we figured we eat something and drink whatever since we were already here. 
I ordered the peanut butter bacon jelly something burger, something like that ask about it. I really enjoyed the kale salad that came along with it. I had some vino and ordered a few rounds. Service was great, place was clean and the vibe is good. 
Sadly, it wasn't frozé all day for me.",late_night,,,,
"Categories: Restaurants, Mexican | Review: The Best Tacos and Salsa in Santa Barbara and Goleta!
Fresh, Fast, and very Friendly.
Enuf said!",late_night,,,,
"Categories: Thai, Vegetarian, Noodles, Restaurants, Asian Fusion | Review: this place is dank. don't believe the haters.",casual_hangout,,,,
"Categories: Bars, American (Traditional), Gastropubs, Nightlife, Cocktail Bars, Restaurants, American (New) | Review: Staff from Friday July 16th was incredible! So friendly, so attentive, super friendly and efficient! We love going there for the food and the drinks and the staff really just makes the experience so much better!",late_night,,,,
"Categories: Seafood, Venues & Event Spaces, Cocktail Bars, Restaurants, Nightlife, Breakfast & Brunch, American (Traditional), Event Planning & Services, Bars, American (New) | Review: Only been there twice...tonight and nearly a year ago when they first opened...food is very good.... service awesome....Eric was our server a yr ago and tonight......he remembered me :)......best thing about tonight was Eric.....lovely smiling face friendly manner very professional.    We will be back soon.....only if Eric is our server......Connie from Sicily :)",late_night,,,,
"Categories: Grocery, Food | Review: The meat section of this grocery store has the most amazing marinated meats; they are super fresh and they are super delicious.  If you want to do your own tacos at home or for friends; this is the place I always go.  The market is pretty small and doesn't have a huge selection itself; but I don't expect it to.  But the attention they give their meat department is a great bargain for what you pay.",late_night,,,,
"Categories: Tuscan, Seafood, Wine Bars, Restaurants, Bars, Nightlife, Italian | Review: Went for lunch yesterday and it was excellent.  I've been to Italy twice.  I consider myself a food snob.  And this was as good as Italian food gets.

We ordered the Paparadelle Bolognese and the Pollo Milanese.

Both dishes were terrific.  Great flavor, great presentation, and the right sized portions.

Every time I am in Santa Barbara, we will eat there.  The staff was great and the service was perfect.

I've seen negative reviews and I cannot speak to those.  However, when you make a reservation at 8 PM on a Saturday, it is an ESTIMATE that your table will be ready then.  It is not a guarantee.  Keep that in mind.

When you are accustomed to chain restaurants who fall all over themselves to make even the biggest jerk happy, don't expect the same thing from a place that is independent and doesn't really need your attitude or business.",late_night,,,,
"Categories: Restaurants, American (Traditional), Lounges, Nightlife, Bars, Burgers, American (New) | Review: We had an awesome experience here. Sat outside with the doggie basking in the warm sun. Try their specialty bourbon drinks. They are winners!",late_night,,,,
"Categories: Food, Vegetarian, Salad, Restaurants, Cafes, American (Traditional), Burgers, Juice Bars & Smoothies | Review: Natural Cafe is a great place for vegetarians or those who are looking for a meal on the healthier side. 

The new location in the Camino Real marketplace is right next to Hollister Brewing. You order at the counter and take a seat inside (it's not an overly large seating area) or outside on the patio, where they have tables with umbrellas and heat lamps for the evenings. 

The menu of appetizers, salads, burgers, pizzas, pastas, etc. has something for pretty much everyone. I like the Yogi Special (sautéed tofu, brown rice, ample side salad with your choice of dressing that comes on the side) and the Zen Burger (veggie patty burger which comes with chips and salsa) also looked yummy. Friends ordered salad entrees and they were enormous! They don't skimp on the portions here. 

I will definitely be back when I'm in the mood for a casual, healthy lunch or dinner in Goleta.",study_spot,,,,
"Categories: Food, Coffee & Tea | Review: The title don't lie. This place has good coffee. You wouldn't go into a place that's called ""Mediocre Cup"" or ""Crappy Cup,"" wouldja? That's how we felt, and therefore felt safe going into Good Cup as opposed to the Starbucks across the street.

Latte = solid. Not too milky, strong, and served extra hot. Red Eye = coffee + espresso shot, Pamela D. enjoyed. Lotsa couches, friendly staff, newspapers strewn about, random trinkets for sale like cutesy day calendars and ""Satan sticky notes"" (yea, I'm not sure what those were about either). 

Also, we agreed that it's important to travel with someone who matches your same appreciation (i.e. addiction) for coffee. Non-addicted folks just don't understand.",late_night,,,,
"Categories: Restaurants, Italian | Review: This restaurant came highly recommended by a friend who travel a lot.  Once again, he nailed it.

Just off the beaten path of State street, this quaint restaurant proved to be worth every penny.  With an award winning wine list, this Italian style eatery was exceptional in every way.  All waitstaff had genuine Italian accents and paid attention to every detail.  The good was fresh, flavorful and prepared to perfection.  The beef tenderloin on a potato tart was excellent with good sized portions.   

At the waiters suggestion.  We had chocolate banana pudding for dessert, which was more like a cake.  It melted in our mouths and is a Chocolate lovers dream.  

Start to finish a fantastic experience for two with one glass of wine. $130 but worth it",casual_hangout,,,,
"Categories: Steakhouses, Cafes, American (Traditional), Seafood, Breakfast & Brunch, Restaurants, Sandwiches | Review: Left a ton to be desired, showed up at the bar, Offered a drink after 5 mins of being here. Finished the drink and once the bartender showed up to ask me how it was, I was finally able to inquire about food. This was about 20-25 mins into sitting at the bar. Finally got the food, never asked how it was until I finished it. Then sat around for another 15 mins after my food and last drink where clearly done to even get a check. Save the time and energy and go to Jack in the Box, better service and you won't pay a ton. Surprised this place has lasted since 1928. I wish I could tell you the restaurant was full and he was slammed but maybe half full and the time I was waiting for the check, I was the only one at the bar.",study_spot,,,,
"Categories: American (Traditional), American (New), French, Restaurants | Review: Lovely lunch, as always. Wonderful service -- Teryhus was knowledgeable and attentive.",casual_hangout,,,,
"Categories: Italian, Restaurants | Review: I was taken out to this restaurant for a date, so I'm already biased in this review. 
The atmosphere was whimsical with the outside patio lighting and candles on the tables. My date and I had the option of a booth or table and we chose a table. I looked at all of the booths, and there were 3 booths each occupied with a couple sitting side by side. I wish I took a pic because it was so romantic. 
For the the food, I ordered the Eggplant Genovese which was an excellent choice. I can't go into great detail about it, by I wasn't disappointed.
Given that I don't know the Santa Barbara area very well, I'd definitely come back to this Italian restaurant.",late_night,,,,
"Categories: Latin American, Restaurants, Mexican, New Mexican Cuisine | Review: I've been a long time fan and patron of the sister restaurants, but have since moved away. I had a 3:15 train to catch, and made it here at 2:45. I let the hostess, Lidia, know my situation and she personally walked to the kitchen and let them know I had a tight schedule. They made my food in 4 minutes with no dip in quality and I was on my way. 

Commitment to quality and service like this is why this family of restaurants is worth your business and why I always stop here when I'm visiting my old home. I'll be a customer for life! Great to see that nothing has been lost in the new, upscale offshoot.",upscale,,,,
"Categories: Diners, Salad, American (Traditional), Breakfast & Brunch, Restaurants | Review: Anyone traveling to Santa Barbara must try Sambo's! Not only is the spot iconic. It was excellent food and even better service. There may be a line out the door but it's totally worth the wait!",late_night,,,,
"Categories: Caterers, Italian, Restaurants, Delis, Event Planning & Services | Review: I've wanted to give a good review for one of our neighborhood restaurants, but after time and time again trying meals at via Maestra, whether it be breakfast, lunch or dinner, it's been a consistent disappointment. Vagueness in the menu description, poor quality food & execution of dishes, as well as spotty service make it impossible for me to choose it as a restaurant I want to support.",family_friendly,,,,
"Categories: Seafood, American (New), Sandwiches, Steakhouses, Restaurants, Bars, Nightlife | Review: Lemon grass salmon. Delicious. Very comfortable with great service. We stop here the 3-4 times we come to Santa Barbara. We look forward to it each time.",late_night,,,,
"Categories: Seafood, Cajun/Creole, American (New), Restaurants | Review: From the martinis in mason jars to the muffin sampler to dessert, everything is good here. You'll even get entertainment while you wait from the live band outside. Colorful decor, friendly service, raucous atmosphere with sing-alongs. Be hungry when you go here because you will want to try everything. My only regret here is when I can't finish dessert....",casual_hangout,,,,
"Categories: Italian, American (New), Restaurants | Review: What other craft restaurants want to be when they grow up. All aces.

With reservations made (highly suggested) we arrived to a packed house of a mix of your usual Santa Barara suspects. ALl walks of life with many in their 40s-60s but hip. These are not borring grandparents and fit right in with 30 Somethings. While you don't need to dress to impress, this is not a shorts, tank top and flops. Put some effort into your denim ensamble. 

We arrived a bit early to check out the bar and decided to skip the table and eat right there. Kyle and Jodie took fantastic care of us recommending wine tastings and more. After discussing the distinctive, micro distilled alchy bottles, our bar keep took us on a tasting of Hophead vodka and Don Julio 70. Both outstanding. This is service on the rocks, over the top.

While I had my eyes set on the lasagna, sadly, they were out. With all fresh and locally obtained ingredients, sometimes it just donen't work out. Next on the list was the Tagliatelle, reved by Jodie across the marble but when I found the Whole Fish was  Branzino, there was no looking forward. That paired with Brussels sprouts and I had my Main picked out. To start, I'm all in for the Porchetta di Testa. The results were very good. The Porchetta di Testa was a mouth watering crab cake side puck o love. Bravo Jason. The fish was very good. Don't get me wrong, it was very good but did not stand up to Justin over at Julienne. The sprouts were served in a little, cast iron skillet and melted in my mouth. Certainly a re-eat.

What did she order? A Chopped salad and the Shrimp pizza. Both were delicious but I thing my choices were more exciting.

To rap this up, Anchor is a top restaurant sitting pretty with just a few Santa Barbara elite. You will want to keep coming back...just like me. The cost of admission is what you make it. There are less expensive options on the menu but you'll want to eat high on the hog. I'm told the Pork Belly Sandwich is must at lunch. I'm sold.",late_night,,,,
"Categories: Ice Cream & Frozen Yogurt, Food, Bakeries, Desserts, Food Delivery Services, Patisserie/Cake Shop | Review: So far we've only had really great experiences with Insomnia Cookies. The cookies are absolutely amazing, and if you sign up to their program you get a lot of good deals. I ordered on the app and they were delivered very quickly. Looking forward to satisfying our future cookie urges with this place!",casual_hangout,,,,
"Categories: Nightlife, Bars, Cocktail Bars, Food, American (New), Desserts, Restaurants | Review: What a wonderful restaurant, we loved the decor and the use of repurposed materials. The staff was incredible, we had Norman waiting on us and he is great, made sure to check on our food allergies and a wealth of information on the dishes and drinks. The menu is full of great options and I'm sure we'll come back to try the dishes we didn't get to try. Thank you for such a beautiful dining experience and helping us celebrate our anniversary",late_night,,,,
"Categories: Modern European, Nightlife, Bars, Restaurants, Bakeries, Wine Bars, Food, Scandinavian, Breakfast & Brunch | Review: Came here because the wait was out the door for Tupelo Junction Cafe. Andersen's is a delightful spot to people watch. Brunch options were limited, but quite tasty. They have a large staff that is always ready to help - every server is available to any table at any time. They're clearly a well oiled machine with a happy staff.

I look forward to coming back here to give their dessert selection a try.",study_spot,,,,
"Categories: Restaurants, Cafes, Breakfast & Brunch, Cajun/Creole | Review: Hubby and I had breakfast here while we were visiting the area.  Based on the reviews, I was expecting something better.  Maybe it was an off day or something.  I had the Cajun-Mexican Special Omelet (chorizo, mushrooms, jack cheese) with hash browns and tortillas on the side.  The egg part of the omelet was overcooked and kind of rubbery and was filled with WAY too much mushroom.  It could have used a bit more of the chorizo.  I wonder what makes this dish 'Cajun-Mexican' anyway...  Hubby had the Cajun Pizza which sorta looked like it had a potato base covered with misc veg and topped with eggs and cheese.  I had contemplated ordering that when I looked at the menu.  Hubby said it was just 'alright'.

It was an OK breakfast, but nothing I'd care to repeat.  Too bad, 'cause I really dug the assortment of hot sauces and the bottle of garlic sauce they have on each table.  (Didn't try the garlic sauce.  Maybe I should have.)",study_spot,,,,
"Categories: Restaurants, Chinese, Nightlife, Burgers, Pizza, Asian Fusion, Ramen, Cocktail Bars, Dim Sum, Bars, Pubs, American (Traditional), Japanese | Review: At Last, Santa Barbara has a wonderfully new restaurant that truly offers extremely delicious Ramen.  This is coming from someone that lived in New York City for six years and grew up in The Washington D.C. Area and has been to the top Ramen Shops in both cities often.  I moved to Santa Barbara in 2003 and quickly realized that Ramen would not be a weekly dining option as it was when I lived in the East Coast.  My love for a delicious bowl of Ramen was put on hiatus as I explored my new city and enjoyed what this city had to offer.  I adapted quickly and found my new dining staples, The Shellfish Company, The Santa Barbara Chicken Ranch, Arrigato, The Boathouse, and City Kitchen(I miss you so much!).  Fast forward to March 2016, and I now have Yankee Noodle in my top 6 must support restaurants.  Let's start with Yankee Noodle's service.  When you come to Santa Barbara from restaurant rich cities like Manhattan and D.C. you have to realize that you are simply not going to get consistently good service that's offered in these cities, simply because Santa Barbara can't sustain service industry professionals.  Therefore, the restaurants mostly hire college students.  That being said and having adjusted my grading of service accordingly, I was impressed with the staff of the newly opened restaurant.  They all were very friendly, made me feel welcome, and offered great suggestions on drinks and dining options. Anyone who knows me will tell you that I ask a lot of questions. I had a really nice conversation with the Bartendar, Mirch, about the high quality Beer, Sake, and Cocktail offerings on the menu. Mitch the Bartender came to Yankee Noodle from The Goodland in Goleta.  I started with the ""Lemon in the Grass"" cocktail.  It's Lemongrass infused Vodka with Ginger and Kumquat syrup. It was the perfect start to my dining experience and gave me something to savor while I examined the very unique menu.  For my first dish, I choose the ""Umami Fresh Corn off the Cobb"".   I enjoyed every spoonful of the r.  Next I had the ""Rich Savory Smokey Pork Broth"".   The Broth is hearty, rich, smokey and buttery delicious.  The noodles were authentic and perfectly prepared in soft and chewy Al-dente style with big egg flavor.  You can definitely taste the complexity of flavors from the broth that takes 24 hours to make.  The toppings it came with were excellent.  The Chasu (Pork Belly) was prepared nicely. It was an ample portion that I greatly enjoyed and the cost $12.95 was typical of what you'd find in a top Ramen shop in NYC or D.C.  I took home leftover Ramen and it was just as enjoyable heated up on the stove the next day.  Yankee Noodle occupies the former Space of Union Ale.  They did a nice job on the conversion.  They fashioned a community table from a ""Chop Suey"" sign that was from a Santa Barbara Restaurant on State Street in 1949's.  It's a great lunch spot while enjoying the Funk Zone or dinner spot Apres Wine with friends or solo.",late_night,,,,
